,id,centroid_x,centroid_y
14,way/154742924,-112.66137170779295,33.02097777672428
16,way/322200420,-112.66005744823283,33.03516392978196
28,way/380495986,-111.61326743768514,33.266732938769955
41,way/572244593,-111.66195564544631,33.279860943411705
51,way/683271814,-113.49366019381486,32.97433203959389
34,way/521174101,-111.79551521074063,33.29860309515327
2,relation/8589051,-112.83269856609958,33.30390843156362
18,way/334181730,-112.9314889936294,33.33915555130577
90,way/820347211,-111.83025384998082,33.343893300117934
19,way/334236133,-112.83413936033882,33.355895568818966
49,way/667583502,-111.71036117578566,33.47717784392569
21,way/343409595,-111.71216240019001,33.47773341071967
22,way/343409596,-111.71451484251558,33.478696121820995
52,way/683780325,-112.34835069701306,33.482284113991476
20,way/334236187,-112.81321991719477,33.49827058711395
46,way/655415223,-112.04525397377024,33.51663639921225
47,way/655415224,-112.04529464998906,33.516780550423256
126,way/896310473,-112.0453219395532,33.517966676378684
127,way/896310474,-112.04532874171446,33.51832914513769
10,relation/11797207,-112.38050439347823,33.526687321809945
23,way/346403487,-112.21542894996843,33.55676335043687
95,way/824963162,-112.40525250523461,34.677423519254276
94,way/824963161,-112.43213355456504,34.72397753644087
30,way/390267004,-111.9001840392097,34.83332647603285
25,way/351369266,-111.82999378151868,34.84544462061172
155,way/901699855,-114.22019419310782,33.70354947547864
50,way/672580344,-114.55542651199734,34.99468973285551
44,way/633140621,-114.16268245833987,35.02286351687124
93,way/824963160,-114.01408293876113,35.302864042406966
86,way/801820275,-111.00649177302934,31.495403624761895
85,way/801820274,-111.00823051136452,31.499999086744733
124,way/890891273,-110.69884209997942,32.08811375001792
123,way/890891272,-110.69881883326343,32.088165749954655
158,way/904579897,-110.9337017842904,32.138338225336355
17,way/330795391,-110.99225460277265,32.17278242231233
114,way/873353347,-110.97431852113073,32.205262933702386
125,way/895335544,-110.97540229997942,32.213960450087335
162,way/907546448,-110.98415162712477,32.21640905825019
102,way/847008186,-110.85270244996791,32.22209350024304
78,way/794925321,-110.72295419519422,32.238609725083535
84,way/800580615,-110.85874737366318,32.2388242266906
109,way/866140665,-110.73161544999616,32.24189585001605
88,way/813527668,-110.81066413854323,32.244340394806514
101,way/842271988,-110.75522992162735,32.24958490703445
100,way/842271966,-110.75458648153638,32.25071132622641
68,way/767941360,-109.19219168724788,32.26397984127089
164,way/910558664,-110.94524277496204,32.267489051585784
152,way/896716931,-111.2241616727425,32.36827927369158
151,way/896716930,-111.22427888970175,32.368740486688694
40,way/563936121,-111.24155077744972,32.37055265316419
39,way/563936118,-111.28329026007557,32.37196913934141
48,way/655999396,-111.25549229380562,32.400779756850625
153,way/897605241,-111.02053216658136,32.40198044680688
32,way/419526100,-111.15149864999286,32.42556759957728
33,way/475906288,-111.28337648096247,32.55298609260036
36,way/542831018,-111.34094174282416,33.053871191731375
67,way/750628044,-110.24057128880062,36.786936747731836
24,way/351367393,-111.83385265087533,34.84735454411717
26,way/361604943,-111.65256728740432,35.17320767550254
